item,price,description
Hamburger,32.42,Uma explosão de sabores em cada mordida.
Cheeseburger,38.81,Uma opção saudável e equilibrada.
Double Cheeseburger,50.18,"Leve e saboroso, perfeito a qualquer hora."
McDouble,55.73,Uma opção saudável e satisfatória.
 Quarter Pounder® with Cheese,57.48,Uma opção deliciosa e reconfortante.
Double Quarter Pounder® with Cheese,48.59,"Leve e delicioso, perfeito para compartilhar."
Big Mac®,45.34,Molhos deliciosos para realçar seus pratos.
Big N’ Tasty®,35.05,Incrivelmente saboroso e gratificante.
Big N’ Tasty® with Cheese,56.26,Uma combinação perfeita de sabores e texturas.
Angus Bacon & Cheese,44.32,Uma opção saudável e equilibrada.
Angus Deluxe,50.18,Sinta o sabor da tradição em cada mordida.
Angus Mushroom & Swiss,34.91,Uma combinação única de sabores e texturas.
Filet-O-Fish®,47.46,Uma opção deliciosa e acolhedora.
McChicken ®,42.44,Incrivelmente refrescante e saboroso.
McRib ®,36.22,Molhos deliciosos para realçar seus pratos.
Premium Grilled Chicken Classic Sandwich,55.95,"Leve e delicioso, perfeito para compartilhar."
Premium Crispy Chicken Classic Sandwich,34.22,Sabor autêntico e suculento.
Premium Grilled Chicken Club Sandwich,39.01,Uma deliciosa refeição para toda a família.
Premium Crispy Chicken Club Sandwich,43.48,Sabor caseiro que aquece a alma.
Premium Grilled Chicken Ranch BLT Sandwich,30.25,Sabor caseiro que aquece a alma.
Premium Crispy Chicken Ranch BLT Sandwich,38.44,Sinta o sabor da tradição em cada mordida.
Southern Style Crispy Chicken Sandwich,35.01,Incrivelmente saboroso e gratificante.
Ranch Snack Wrap® (Crispy),30.67,Uma mistura de doçura e crocância.
Ranch Snack Wrap® (Grilled),48.33,A escolha ideal para ocasiões especiais.
Honey Mustard Snack Wrap® (Crispy),56.33,Incrivelmente saboroso e satisfatório.
Honey Mustard Snack Wrap® (Grilled),55.05,Uma opção saudável e equilibrada.
Chipotle BBQ Snack Wrap® (Crispy),30.08,Incrivelmente refrescante e saboroso.
Chipotle BBQ Snack Wrap® (Grilled),54.4,Uma explosão de sabores em um só prato.
Angus Bacon & Cheese Snack Wrap,35.34,Um clássico que nunca sai de moda.
Angus Chipotle BBQ Bacon,50.45,Uma combinação perfeita de sabores e texturas.
Angus Chipotle BBQ Bacon Snack Wrap,42.7,Para os amantes de bebidas geladas.
Angus Deluxe Snack Wrap,49.04,Sabor autêntico com ingredientes frescos.
Angus Mushroom & Swiss Snack Wrap,53.47,Uma opção saudável e equilibrada.
Mac Snack Wrap,44.47,Sabores autênticos que aquecem o coração.
Small French Fries,58.5,Um clássico que nunca sai de moda.
Medium French Fries,40.29,Uma opção deliciosa e acolhedora.
Large French Fries,45.9,Uma experiência refrescante e doce.
Ketchup Packet,47.02,Incrivelmente refrescante e saboroso.
Salt Packet,55.61,A escolha ideal para ocasiões especiais.
Chicken McNuggets® (4 piece),43.95,Incrivelmente refrescante e saboroso.
Chicken McNuggets® (6 piece),38.22,Uma explosão de sabores em cada mordida.
Chicken McNuggets® (10 piece),58.63,"Leve e delicioso, perfeito para compartilhar."
Barbeque Sauce,31.21,Sinta o sabor do verão a cada gole.
Honey,40.35,O acompanhamento perfeito para qualquer refeição.
Hot Mustard Sauce,54.49,Incrivelmente saboroso e gratificante.
Sweet ‘N Sour Sauce,35.69,O acompanhamento perfeito para qualquer refeição.
Chicken Selects® Premium Breast Strips (3 pc),33.69,Sinta o sabor do verão a cada gole.
Chicken Selects® Premium Breast Strips (5 pc),53.14,Incrivelmente refrescante e saboroso.
Spicy Buffalo Sauce,35.12,Sabor exótico que vai te surpreender.
Creamy Ranch Sauce,40.21,Para os amantes de bebidas geladas.
Tangy Honey Mustard Sauce,39.03,Uma explosão de sabores em um só prato.
Southwestern Chipotle Barbeque Sauce,41.95,Para os amantes de bebidas geladas.
Premium Southwest Salad with Grilled Chicken,56.48,"Leve e delicioso, perfeito para compartilhar."
Premium Southwest Salad with Crispy Chicken,51.78,Uma bebida gelada e revigorante.
Premium Southwest Salad (without chicken),38.57,A escolha perfeita para um dia especial.
Premium Bacon Ranch Salad with Grilled Chicken,41.41,Sinta o sabor do verão a cada gole.
Premium Bacon Ranch Salad with Crispy Chicken,59.86,Uma opção saudável e equilibrada.
Premium Bacon Ranch Salad (without chicken),49.86,Uma experiência refrescante e doce.
Premium Caesar Salad with Grilled Chicken,41.09,Sabor autêntico e suculento.
Premium Caesar Salad with Crispy Chicken,54.21,Uma opção deliciosa e reconfortante.
Premium Caesar Salad (without chicken),45.24,"Leve e delicioso, perfeito para compartilhar."
Side Salad,55.75,Sabor exótico que vai te surpreender.
Butter Garlic Croutons,46.93,Incrivelmente saboroso e gratificante.
Snack Size Fruit & Walnut Salad,59.64,Uma combinação perfeita de sabores e texturas.
Salad Dressings,30.99,Uma explosão de sabores em cada mordida.
Newman’s Own® Creamy Southwest Dressing,33.12,Uma opção deliciosa e acolhedora.
Newman’s Own® Creamy Caesar Dressing,40.86,Uma opção saudável e equilibrada.
Newman’s Own® Low Fat Balsamic Vinaigrette,36.37,Sabor autêntico e suculento.
Newman’s Own® Low Fat Family Recipe Italian Dressing,56.2,"Leve e delicioso, perfeito para compartilhar."
Newman’s Own® Ranch Dressing,30.57,Sinta o sabor do verão a cada gole.
Egg McMuffin®,40.93,Incrivelmente saboroso e gratificante.
Sausage McMuffin®,31.2,Uma combinação perfeita de sabores e texturas.
Sausage McMuffin® with Egg,36.09,Sabores autênticos que aquecem o coração.
English Muffin,39.79,Uma opção saudável e equilibrada.
"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",44.31,Uma bebida gelada e revigorante.
"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",55.88,Uma combinação perfeita de sabores e texturas.
Sausage Biscuit with Egg (Regular Size Biscuit),43.94,Para os amantes de café e cappuccinos.
Sausage Biscuit with Egg (Large Size Biscuit),45.63,Para os amantes de bebidas geladas.
Sausage Biscuit (Regular Size Biscuit),34.89,Perfeito para quem gosta de sabores picantes.
