item,price,description
Baconator,39.85,Uma combinação perfeita de sabores e texturas.
Dave’s Double,52.43,A combinação perfeita de doçura e frutas.
Dave’s Single,47.66,Uma combinação perfeita de sabores e texturas.
Dave’s Triple,40.81,Para os amantes de bebidas geladas.
Double Stack,55.03,Uma deliciosa refeição para toda a família.
Jr. Bacon Cheeseburger,44.78,Sabor autêntico com ingredientes frescos.
Jr. Cheeseburger,55.18,"Leve e saboroso, perfeito a qualquer hora."
Jr. Cheeseburger Deluxe,38.85,"Leve e delicioso, perfeito para compartilhar."
Son of Baconator,55.03,Sabor caseiro que aquece a alma.
3 Piece Chicken Tenders,32.92,"Leve e delicioso, perfeito para compartilhar."
4 Piece Chicken Nuggets,37.46,Uma opção deliciosa e acolhedora.
4 Piece Chicken Tenders,42.83,Sabor autêntico com ingredientes frescos.
6 Picece Chicken Nuggets,50.02,Para os amantes de bebidas geladas.
6 Piece Chicken Tenders,32.86,Uma explosão de sabores em cada mordida.
10 Piece Chicken Nuggets,53.35,Uma experiência refrescante e doce.
Crispy Chicken BLT,51.8,Uma bebida gelada e revigorante.
Crispy Chicken Sandwich,32.95,Sabor autêntico com ingredientes frescos.
Grilled Asiago Ranch Club,52.21,Sabor exótico que vai te surpreender.
Grilled Chicken Sandwich,38.63,Uma combinação perfeita de sabores e texturas.
Grilled Chicken Wrap,59.09,Uma experiência refrescante e doce.
Homestyle Asiago Ranch Chicken Club,45.49,Para os amantes de comida caseira.
Homestyle Chicken Sandwich,36.01,Uma opção deliciosa e acolhedora.
S’Awesome Sauce,31.84,Um clássico que nunca sai de moda.
Spicy Asiago Ranch Club,42.92,Sabor exótico que vai te surpreender.
Spicy Chicken Sandwich,50.14,Para os amantes de bebidas geladas.
Spicy Chicken Wrap,57.43,Sabor caseiro que aquece a alma.
"Apple Pecan Chicken Salad, Full Size",56.34,Sinta o sabor da tradição em cada mordida.
"Apple Pecan Chicken Salad, Half Size",39.87,Sinta o sabor da natureza em cada mordida.
"Berry Burst Chicken Salad, Full Size",47.1,Uma opção saudável e equilibrada.
"Berry Burst Chicken Salad, Half Size",39.97,Para os amantes de bebidas geladas.
