item,price,description
Bacon Club Chalupa,58.33,Uma experiência refrescante e doce.
Blue Raspberry Freeze™ (16 oz),39.38,Incrivelmente refrescante e saboroso.
Blue Raspberry Freeze™ (20 oz),47.71,Sabores autênticos que aquecem o coração.
Loaded Nacho Taco,30.3,A escolha ideal para ocasiões especiais.
Midnight Berry Freeze™ (16 oz),48.73,Uma opção saudável e equilibrada.
Midnight Berry Freeze™ (20 oz),54.36,"Leve e delicioso, perfeito para compartilhar."
Nacho Fries,41.51,Uma deliciosa refeição para toda a família.
Nacho Fries BellGrande®,31.15,Sinta o sabor da tradição em cada mordida.
Black Bean Chalupa – Online Exclusive,32.65,"Leve e delicioso, perfeito para compartilhar."
Black Bean Quesarito – Online Exclusive,56.06,Uma explosão de sabores em cada mordida.
Quesarito – Online Exclusive,57.06,Uma explosão de sabores em cada mordida.
Chalupa Supreme® – Beef,34.58,Sabor autêntico e suculento.
Chalupa Supreme® – Chicken,59.32,Incrivelmente saboroso e gratificante.
Chalupa Supreme® – Steak,45.08,Uma bebida gelada e revigorante.
Cheesy Gordita Crunch,40.77,Uma opção saudável e equilibrada.
Crunchy Taco,32.86,Uma bebida gelada e revigorante.
Crunchy Taco Supreme®,45.25,Para os amantes de bebidas geladas.
Loaded Nacho Taco (New),55.56,Molhos deliciosos para realçar seus pratos.
Nacho Cheese Doritos® Locos Taco,53.42,Sabor autêntico e suculento.
Nacho Cheese Doritos® Locos Taco Supreme®,52.51,Uma combinação única de sabores e texturas.
Soft Taco – Beef,50.33,Sabor exótico que vai te surpreender.
Soft Taco – Chicken,55.18,Uma combinação perfeita de sabores e texturas.
Soft Taco Supreme®,48.36,A escolha ideal para ocasiões especiais.
Soft Taco – Beef,52.58,Uma opção saudável e equilibrada.
Soft Taco – Chicken,46.16,Uma opção saudável e equilibrada.
Bean Burrito (V),49.6,A escolha ideal para ocasiões especiais.
Beefy 5-Layer Burrito,52.61,Uma explosão de sabores em cada mordida.
Burrito Supreme® – Beef,59.05,Uma opção deliciosa e acolhedora.
Burrito Supreme® – Chicken,36.7,Sabores tradicionais que nunca desapontam.
Burrito Supreme® – Steak,37.57,Uma combinação perfeita de sabores e texturas.
Chili Cheese Burrito (regional),38.98,Uma explosão de sabores em cada mordida.
Quesarito – Beef,59.83,Sabor autêntico e suculento.
Quesarito – Chicken,59.77,A escolha ideal para ocasiões especiais.
Quesarito – Steak,33.25,A escolha saudável para um dia agitado.
Chips and Nacho Cheese Sauce (V),41.01,A escolha ideal para ocasiões especiais.
Nacho Fries (V) (New),50.76,"Leve e delicioso, perfeito para compartilhar."
Nacho Fries BellGrande® (New),52.39,"Leve e delicioso, ótimo para compartilhar."
Nachos BellGrande® – Beef,35.4,Sabores únicos que vão surpreender você.
Nachos BellGrande® – Chicken,53.68,Uma experiência refrescante e doce.
Nachos BellGrande® – Steak,36.27,Uma mistura de doçura e crocância.
Beef Quesarito,44.91,Sabor exótico que vai te surpreender.
Black Bean Quesarito (V),45.26,Sabor caseiro que aquece a alma.
Quesadilla – Cheese (V),33.78,"Leve e delicioso, perfeito para compartilhar."
Quesadilla – Chicken,39.63,A escolha perfeita para um dia especial.
Quesadilla – Steak,32.17,Sinta o sabor do verão a cada gole.
Bacon Club Chalupa – Specialties,59.56,Uma opção deliciosa e satisfatória.
Black Bean Chalupa – Specialties,42.11,Uma escolha saudável e deliciosa.
Black Bean Crunchwrap Supreme – Specialties,38.72,Incrivelmente saboroso e gratificante.
Black Bean Quesarito – Specialties,45.5,Uma explosão de sabores em um só prato.
Chalupa Supreme® – Specialties,54.45,Um clássico que nunca sai de moda.
Cheesy Gordita Crunch – Specialties,55.5,"Leve e delicioso, perfeito para compartilhar."
Cheesy Roll Up – Specialties,43.07,Para os amantes de café e cappuccinos.
Crunchwrap Supreme® – Specialties,35.78,"Leve e delicioso, perfeito para compartilhar."
Crunchy Taco – Specialties,45.81,Uma bebida gelada e revigorante.
Nacho Cheese Doritos® Locos Taco – Specialties,33.47,A escolha ideal para ocasiões especiais.
Nachos BellGrande® – Specialties,31.39,Uma experiência refrescante e doce.
Power Menu Bowl – Specialties,46.92,Uma opção deliciosa e acolhedora.
Quesadilla – Specialties,53.41,Uma opção saudável e equilibrada.
Quesarito – Specialties,52.38,A escolha ideal para ocasiões especiais.
Soft Taco – Specialties,32.21,Uma experiência refrescante e doce.
Soft Taco Supreme – Specialties,32.37,"Leve e saboroso, perfeito a qualquer hora."
Veggie Power Menu Bowl – Specialties,52.93,Uma opção deliciosa e reconfortante.
Black Beans & Rice (V),36.01,Uma opção deliciosa e acolhedora.
Black Beans (V),55.48,Uma opção saudável e equilibrada.
Cinnabon® Delights™ (2 Pk) (V),29.98,Para os amantes de bebidas geladas.
Cinnabon® Delights™ (12 Pk – Serves 4) (V),51.97,Uma combinação única de sabores e texturas.
Cinnamon Twists (V),39.47,Incrivelmente refrescante e saboroso.
Diablo Sauce Packet (V),50.82,Uma combinação perfeita de sabores e texturas.
Fire Sauce Packet (V),32.57,O acompanhamento perfeito para qualquer refeição.
Hot Sauce Packet (V),56.81,"Leve e delicioso, perfeito para compartilhar."
Mild Sauce Packet (V),56.55,Molhos deliciosos para realçar seus pratos.
Blue Raspberry Freeze™ (16 oz) (New),39.55,Uma explosão de sabores em cada mordida.
Blue Raspberry Freeze™ (20 oz) (New),42.96,Uma experiência refrescante e doce.
Dragon Fruit Freeze (16 oz),32.88,O acompanhamento perfeito para qualquer refeição.
Dragon Fruit Freeze (20 oz),30.81,Uma opção deliciosa e satisfatória.
Lowfat Milk – CA (Regional),38.77,Incrivelmente saboroso e gratificante.
Lowfat Milk – Federal (Regional),48.06,Uma combinação perfeita de sabores e texturas.
Midnight Berry Freeze™ (16 oz) (New),42.62,Uma opção deliciosa e acolhedora.
Midnight Berry Freeze™ (20 oz) (New),34.45,Uma bebida gelada e revigorante.
Mtn Dew® Baja Blast Freeze™ (16 oz),30.29,Molhos deliciosos para realçar seus pratos.
Mtn Dew® Baja Blast Freeze™ (20 oz),34.68,Uma explosão de sabores em um só prato.
Orange Juice,47.47,Molhos deliciosos para realçar seus pratos.
Premium Hot Coffee,57.11,A escolha ideal para ocasiões especiais.
Regular Iced Coffee,37.42,Para os amantes de comida caseira.
Water,36.61,Uma bebida gelada e revigorante.
Wild Strawberry Freeze™ (16 oz),39.85,Sabores autênticos que aquecem o coração.
Wild Strawberry Freeze™ (20 oz),46.65,A escolha ideal para ocasiões especiais.
Beef Burrito – Value Menu,53.04,Para os amantes de bebidas geladas.
Cheesy Bean & Rice Burrito – Value Menu,46.87,Uma explosão de sabores em um só prato.
Cheesy Roll Up – Value Menu,56.89,Sabor autêntico que aquece o coração.
Chicken Chipotle Melt – Value Menu,48.41,Uma opção deliciosa e satisfatória.
Chips and Nacho Cheese Sauce – Value Menu,41.13,A escolha saudável para um dia agitado.
Cinnamon Twists – Value Menu,51.79,Perfeito para quem gosta de sabores picantes.
Loaded Nacho Taco – Value Menu,50.74,Para os amantes de bebidas geladas.
Bean Burrito,32.83,Uma opção saudável e equilibrada.
Black Bean Chalupa,52.66,Sabor caseiro que aquece a alma.
Black Bean Crunchwrap Supreme,39.13,Uma bebida gelada e revigorante.
Black Bean Quesarito,32.84,Uma experiência refrescante e doce.
Black Beans & Rice,58.07,Perfeito para quem gosta de sabores picantes.
Cheese Quesadilla,30.37,Uma combinação perfeita de sabores e texturas.
Cheesy Bean & Rice Burrito,48.15,Uma combinação perfeita de sabores e texturas.
Cheesy Roll Up,37.38,Sabor exótico que vai te surpreender.
Chips and Nacho Cheese Sauce,54.44,Uma bebida gelada e revigorante.
Cinnabon® Delights™ (2 Pack),50.64,Incrivelmente refrescante e saboroso.
Cinnabon® Delights™ (12 Pack – Serves 4),31.92,A escolha saudável para um dia agitado.
Cinnamon Twists,51.06,Molhos deliciosos para realçar seus pratos.
Hash Brown,39.79,Molhos deliciosos para realçar seus pratos.
Power Menu Bowl – Veggie,56.83,Para os amantes de bebidas geladas.
Power Menu Bowl – Chicken,32.17,Para os amantes de bebidas geladas.
Power Menu Bowl – Steak,32.3,Uma escolha saudável e deliciosa.
Power Menu Bowl – Veggie (V),57.3,Uma explosão de sabores em cada mordida.
